Number,Strokes,Radical,Alternate,Category,Meaning,Reading-J,Reading-R,Position-J,Position-R,Importance,Frequency,Examples
163,7,邑,阝⻏,Society,"town, community",むら,mura,,,,350,那 邦 郎 部 郭 都 鄉
164,7,酉,,Food,"sake jar, bird",ひよみのとり,hiyominotori,,,,290,酒 醉 油 醒 酸
165,7,釆,,Capability,"divide, to separate",のごめ,nogom,,,,14,釉 釋
166,7,里,,Society,"village, (3.93 km)",さと,sato,,,,14,野 野
167,8,金,釒,Nature,"metal, gold, mineral",かね,kane,,,,806,銀 銅 釘 銳 鋞 鋙 鉒 鉍 鉗 鈡 鈠
168,8,長,镸,Home,long,ながい,nagai,,,,55,長
169,8,門,,Home,"gate, door",もんがまえ,mongamae,"かまえ, もんがまえ","kamae, mongamae",Important,246,間 閑 関 闘 閉 開 閏 間
170,8,阜,⻖阝,Nature,"hill, mound, dam",こざと,kozato,,,,348,阪 防 阻 陆 陘 院 险 陳
171,8,隶,,Society,"to capture, servant",れいづくり,reizukuri,つくり,tsukuri,,12,隸 隺
172,8,隹,,Animal,small bird,ふるとり,furutori,,,,233,雀 集 雁 难 雀 雅
173,8,雨,⻗,Nature,rain,あめ,ame,,,,298,雾 霜 雪 霸 雲 霧
174,8,青,⾭,Color,"blue, green",あお,ao,,,,17,靕 靖 靜
175,8,非,,Other,"wrong, non-",あらず,arazu,,,,25,靠 靠 靟
176,9,面,靣,Body,"face, surface",めん,men,,,,66,靦 靨
177,9,革,,Animal,leather,つくりがわ,tsukurigawa,,,,305,靴 鞍 鞅 鞍 鞭
178,10,韋,,Clothing,tanned leather,なめしがわ,nameshigawa,,,,100,韋 韓 韜
179,9,韭,,Agriculture,leek,にら,nira,,,,20,韱 韲
180,9,音,,Capability,"sound, noise",おと,oto,,,,43,韶 韻 韾
181,9,頁,,Body,"head, page",おおがい,oogai,つくり,tsukuri,Important,372,頃 項 順 須 領 頭 頩 頂
182,9,風,⺇𠘨,Nature,wind,かぜ,kaze,,,,182,風 颱 飄 颿 颪
183,9,飛,,Animal,to fly,とぶ,tobu,,,,92,飜 飝
184,9,食,𩙿飠 ,Food,"food, to eat",しょく,shoku,,,,403,飯 飲 餓 餘 餐 養
185,9,首,,Body,head,くび,kubi,,,,20,馗 馘
186,9,香,,Capability,scent,かおり,kaori,,,,37,馨
187,10,馬,,Animal,horse,うま,uma,,,,472,馮 馴 馳 駐 驚
188,10,骨,,Body,bone,ほね,hone,,,,185,骼 髒 髀 骿 骾
189,10,高,髙,Home,high,たかい,takai,,,,34,髚 髛
190,10,髟,,Body,long hair,かみかんむり,kamikanmuri,かんむり,kanmuri,,243,髮 鬚 鬆 鬍 髦
191,10,鬥,,Weapon,fighting,たたかいがまえ,tatakaigamae,かまえ,"kamae, mongamae",,23,鬧 鬪
192,10,鬯,,Nature,herbs,においざけ,nioizake,,,,8,鬰 鬱
193,10,鬲,,Home,"tripod, cauldron",れき,reki,,,,73,鬶 鬷 鬸
194,10,鬼,,Ceremony,demon,おに,oni,,,,141,魂 魁 鬽 魄
195,11,魚,,Fishing,fish,うお,uo,,,,571,鯉 鮑 魛 魜 魝 魞 魟 魠
196,11,鳥,,Animal,bird,とり,tori,,,,750,鳫 鳮 鳱 鳳 鳴 鳿 雞 鳴 鴻 鴛
197,11,鹵,,Food,salt,しお,shio,,,,44,鹹 鹼 鹽
198,11,鹿,,Animal,deer,しか,shika,,,,104,塵 麃 麋 麉 麟
199,7,麦,⿆,Food,wheat,むぎ,mugi,,,,131,麴 麵 麱 麨 麺
200,11,麻,,Agriculture,hemp,あさ,asa,,,,34,麼 魔
201,11,黄,⿈,Color,yellow,き,ki,,,,42,黊 黌
202,12,黍,,Agriculture,millet,きび,kibi,,,,46,黏 黎
203,11,黒,黑,Color,black,くろ,kuro,,,,172,點 黛 黱 黨
204,12,黹,,Clothing,embroider,ぬいとり,nuitori,,,,8,黼 黻
205,13,黽,,Animal,frog,かえる,kaeru,,,,40,黿 鼈
206,13,鼎,,Ceremony,tripod (sacrificial),かなえ,kanae,,,,14,鼏 鼒
207,13,鼓,,Ceremony,drum,つづみ,tuzumi,,,,46,鼗 鼘
208,13,鼠,,Animal,"rat, mouse",ねずみ,nezumi,,,,92,鼢 鼣 鼤
209,14,鼻,,Body,nose,はな,hana,,,,49,鼼 鼽 鼿
210,14,齊,⻫,Other,alike,せい,sei,,,,18,齋 齏 齏
211,12,歯,齒,Body,tooth,は,ha,,,,162,齡 齠 齗
212,11,竜,龍,Animal,dragon,りゅう,ryuu,,,,14,龖 龘
213,11,亀,龜,Fishing,turtle,かめ,kame,,,,24,龝
214,17,龠,,Ceremony,flute,やく,yaku,,,,19,龣
215,1,,,,"bend, stroke",のかんむり,nokanmuri,かんむり,kanmuri,,,
216,1,⺃,,,the second,おつ,otsu,,,,,
217,2,⺅,,,person,にんべん,ninben,へん,hen,Important,,
218,2,𠆢,,,person,ひとやね,hitoyane,かんむり,kanmuri,Important,,
219,2,,,,eight,はちがしら,hachigashira,,,,,
220,2,⺇,,,wind,かぜかんむり,kazekanmuri,かんむり,kanmuri,,,
221,2,⺉,,,"knife, sword",りっとう,rittou,つくり,tsukuri,Important,,
223,3,,,,mouth,くちへん,kuchihen,へん,hen,Important,,
224,3,,,,earth,つちへん,tsuchihen,へん,hen,Important,,
225,3,,,,"man, scholar, samurai",さむらいかんむり,samuraikanmuri,かんむり,kanmuri,,,
226,3,,,,woman,おんなへん,onnahen,へん,hen,Important,,
227,3,,,,"child, son",こへん,kohen,へん,hen,Important,,
228,3,,,,"inch, (2.25 cm)",すんづくり,sunzukuri,つくり,tsukuri,,,
229,3,⺌,,,small,しょうかんむり,shoukanmuri,かんむり,kanmuri,,,
230,3,,,,mountain,やまへん,yamahen,へん,hen,,,
231,3,,,,mountain,やまかんむり,yamakanmuri,かんむり,kanmuri,,,
232,3,川,,,river,さんぼんがわ,sanbongawa,,,,,
233,3,,,,"work, carpenter, skill",たくみへん,takumihen,へん,hen,,,
234,3,巳,,,oneself,おのれ,onore,,,,,
235,3,己,,,oneself,おのれ,onore,,,,,
236,3,,,,cloth,はばへん,habahen,へん,hen,,,
237,3,,,,bow （in archery）,ゆみへん,yumihen,へん,hen,,,
238,3,⺕,,,pig’s head,けいがしら,keigashira,,,,,
239,3,⺔,,,pig’s head,けいがしら,keigashira,,,,,
240,3,⻏,,,"town, community",おおざと,oozato,つくり,tsukuri,Important,,
241,3,⻖,,,"hill, mound, dam",こざとへん,kozatohen,へん,hen,Important,,
242,3,,,,Katakana Tsu,つ,tsu,かんむり,kanmuri,,,
243,3,⺖,,,"heart, mind, spirit",りっしんべん,risshinben,へん,hen,Important,,
244,3,⺘,,,hand,てへん,tehen,へん,hen,Important,,
245,3,⺡,,,water,さんずい,sanzui,へん,hen,Important,,
246,3,⺨,,,beast,けものへん,kemonohen,へん,hen,Important,,
247,4,⺗,,,"heart, mind, spirit",したごころ,shitagokoro,あし,ashi,,,
248,4,,,,door,とだれ,todare,たれ,tare,,,
249,4,⽁,,,"activity, to strike, hit",ぼくづくり,bokuzukuri,つくり,tsukuri,,,
250,4,,,,"direction, flag",ほうへん,houhen,へん,hen,,,
251,4,,,,"sun, day, time",ひへん,hihen,へん,hen,Important,,
252,4,⺝,,,"moon, month, period",つきへん,tsukihen,へん,hen,,,
253,4,,,,"meat, flesh",にくづき,nikuzuki,,,Important,,
254,4,,,,"tree, wood",きへん,kihen,へん,hen,Important,,
255,4,,,,"death & dying, to decompose",がつへん,gatsuhen,へん,hen,,,
256,4,,,,fire,ひへん,hihen,へん,hen,Important,,
257,4,⺣,,,fire,れっか,rekka,あし,ashi,Important,,
258,4,⺤,,,"claw, nail",つめかんむり,tsumekanmuri,かんむり,kanmuri,,,
259,4,爫,,,"claw, nail",つめかんむり,tsumekanmuri,かんむり,kanmuri,,,
260,4,,,,slice,かたへん,katahen,へん,hen,,,
261,4,,,,"fang, canine tooth",きば,kiba,,,,,
262,4,,,,cow,うしへん,ushihen,へん,hen,,,
263,4,,,,"jewelry, jeweled king",おうへん,ouhen,へん,hen,Important,,
264,4,⺭,,,"altar, festival, religious service",しめすへん,shimesuhen,へん,hen,Important,,
265,4,㓁,,,net,あみがしら,amigashira,,,,,
266,5,玊,,,"jewelry, king",たま,tama,,,,,
267,5,玉,,,"jewelry, king",たま,tama,,,,,
268,5,,,,melon,うり,uri,,,,,
269,5,,,,rice paddy,たへん,tahen,へん,hen,,,
270,5,⺪,,,bolt of cloth,ひきへん,hikihen,へん,hen,,,
271,5,,,,white,はくへん,hakuhen,へん,hen,,,
272,5,,,,eye,めへん,mehen,へん,hen,Important,,
273,5,,,,eye,よこめ,yokome,かんむり,kanmuri,,,
274,5,,,,halberd,ほこへん,hokohen,へん,hen,,,
275,5,,,,arrow,やへん,yahen,へん,hen,,,
276,5,,,,stone,いしへん,ishihen,へん,hen,,,
277,5,,,,"hole, cave",あなかんむり,anakanmuri,かんむり,kanmuri,Important,,
278,5,,,,to stand,たつへん,tatsuhen,へん,hen,,,
279,5,,,,"fang, canine tooth",きばへん,kibahen,へん,hen,,,
280,5,氺,,,water,したみず,shitamizu,,,,,
281,5,⺫,,,net,あみがしら,amigashira,かんむり,kanmuri,,,
282,5,⻂,,,clothing,ころもへん,koromohen,へん,hen,Important,,
283,5,⺛,,,not,むにょう,munyou,,,,,
284,6,⺮,,,bamboo,たけかんむり,takekanmuri,かんむり,kanmuri,Important,,
285,5,𦉰,,,net,あみがしら,amigashira,罒,,,,
286,6,,,,rice,こめへん,komehen,へん,hen,Important,,
287,6,,,,thread,いとへん,itohen,へん,hen,Important,,
288,6,⽹,,,net,あみめ,amime,,,,,
289,6,⺷,,,sheep,ひつじ,hitsuji,,,,,
290,6,⽻,,,"feather, wing",はね,hane,,,,,
291,6,⽼,,,"old, old-age",おいかんむり,oikanmuri,,,,,
292,6,,,,ear,みみへん,mimihen,へん,hen,,,
293,6,⾂,,,"retainer, minister",しん,shin,,,,,
294,6,,,,"to arrive, reach",いたるへん,,へん,hen,,,
295,6,,,,"ship, boat",ふねへん,funehen,へん,hen,,,
296,6,⾋,,,"grass, plant",くさ,kusa,,,,,
297,6,,,,"worm, insect, bug",むしへん,mushihen,へん,hen,Important,,
298,6,⾑,,,"cover, west",にし,nishi,,,,,
299,6,⻃,,,"cover, west",にし,nishi,,,,,
300,7,,,,"horn, corner",つのへん,tsunohen,へん,hen,,,
301,7,,,,"words, to speak, say",ごんべん,gonben,へん,hen,Important,,
302,7,,,,valley,たにへん,tanihen,へん,hen,,,
303,7,,,,bean,まめへん,mamehen,へん,hen,,,
304,7,,,,"shell, property, wealth",かいへん,kaihen,へん,hen,Important,,
305,7,,,,to run,そうにょう,sounyou,にょう,nyou,Important,,
306,7,⻊,,,"foot, leg",あしへん,ashihen,へん,hen,Important,,
307,7,,,,body,みへん,mihen,へん,hen,,,
308,7,,,,"vehicle, wheel, car",くるまへん,kurumahen,へん,hen,Important,,
309,7,⾡,,,to run,しんにょう,shinnyou,,,,,
310,7,,,,"sake jar, bird",とりへん,torihen,へん,hen,,,
311,7,,,,"divide, to separate",のごめへん,nogomehen,へん,hen,,,
312,7,,,,"village, (3.93 km)",さとへん,satohen,へん,hen,,,
313,7,,,,"contrary, to err",まいあし,maiashi,,,,,
314,8,,,,"metal, gold, mineral",かねへん,kanehen,へん,hen,Important,,
315,8,⻗,,,rain,あめかんむり,amekanmuri,かんむり,kanmuri,Important,,
316,8,⾭,,,"blue, green",あお,ao,,,,,
317,8,⻟,,,"food, to eat",しょくへん,shokuhen,へん,hen,,,
318,8,⻫,,,alike,せい,sei,,,,,
319,9,,,,leather,なめしがわ,nameshigawa,,,,,
320,10,,,,horse,うまへん,umahen,へん,hen,,,
321,10,,,,bone,ほねへん,honehen,へん,hen,,,
322,11,,,,fish,うおへん,uohen,へん,hen,Important,,
323,11,⿆,,,wheat,むぎ,mugi,,,,,
324,11,,,,hemp,あさかんむり,asakanmuri,かんむり,kanmuri,,,
325,12,⿈,,,yellow,き,ki,,,,,
326,12,⿊,,,black,くろ,kuro,,,,,
327,15,⿒,,,tooth,は,ha,,,,,
328,16,龍,,,dragon,りゅう,ryuu,,,,,
329,16,⿔,,,turtle,かめ,kame,,,,,
330,n/a,々,,,symbol of repetition,n/a,n/a,,,,,
